"Side","Symbol","Name","Order Price","Order Qty","Order Amount","Status","Filled@Avg Price","Order Time","Order Type","Time-in-Force","Allow Pre-Market","Session","Trigger price","Position Opening","Markets","Currency","Order Source","Fill Qty","Fill Price","Fill Amount","Fill Time","Markets","Currency","Counterparty","Remarks","Commission","Platform Fees","Settlement Fees","Options Regulatory Fees","OCC Fees","Option Settlement Fees","SEC Fees","Trading Activity Fees","Stamp Duty","Trading Fees","SFC Levy","FRC Levy","Trading Tariff","Consolidated Audit Trail Fees","Total"
"Buy","HIMS260618C45/50","HIMS Vertical","0.78","3unit(s)","234.00","Cancelled","0unit(s)@0.00","Dec 15, 2025 10:10:33 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","HIMS260618C45000","HIMS 260618 45.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","HIMS260618C50000","HIMS 260618 50.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205/215","NVDA Vertical","2.40","3unit(s)","720.00","Cancelled","0unit(s)@0.00","Dec 12, 2025 11:17:20 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","TQQQ","ProShares UltraPro QQQ ETF","Market Price","10","528.40","Filled","10@52.8398","Dec 12, 2025 11:16:18 ET","Market","Day","","Regular Trading Hours","","","US","USD","","10","52.8398","528.40","Dec 12, 2025 11:16:18 ET","US","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"Buy","NVDA260618C205/215","NVDA Vertical","2.40","3unit(s)","720.00","Cancelled","0unit(s)@0.00","Dec 11, 2025 09:35:50 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205/215","NVDA Vertical","3.00","3unit(s)","900.00","Cancelled","0unit(s)@0.00","Dec 10, 2025 10:41:39 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","HIMS260618C45/50","HIMS Vertical","1.00","6unit(s)","600.00","Cancelled","0unit(s)@0.00","Dec 10, 2025 09:31:55 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","HIMS260618C45000","HIMS 260618 45.00C","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","HIMS260618C50000","HIMS 260618 50.00C","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205/215","NVDA Vertical","2.80","3unit(s)","840.00","Filled","3unit(s)@2.80","Dec 8, 2025 13:23:57 ET","Limit","GTC","","","","","US","USD","","","","","","","","","","3.98","1.8","","0.08","0.12","1.08","","0.01","","","","","","0.02","7.09"
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","3","14.35","4,305.00","Dec 11, 2025 09:56:20 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","3","11.55","3,465.00","Dec 11, 2025 09:56:20 ET","US","USD","","","","","","","","","","","","","","","","",""
"Buy","HIMS260618C45/50","HIMS Vertical","1.00","6unit(s)","600.00","Cancelled","0unit(s)@0.00","Dec 5, 2025 10:04:55 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","HIMS260618C45000","HIMS 260618 45.00C","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","HIMS260618C50000","HIMS 260618 50.00C","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","HIMS260618C45/50","HIMS Vertical","1.40","6unit(s)","840.00","Filled","6unit(s)@1.40","Dec 4, 2025 10:45:52 ET","Limit","Day","","","","","US","USD","","","","","","","","","","7.8","3.6","","0.16","0.24","2.16","","0.02","","","","","","0.04","14.02"
"Buy","HIMS260618C45000","HIMS 260618 45.00C","","6","","","","","","","","","","","","","","3","7.95","2,385.00","Dec 4, 2025 11:55:28 ET","US","USD","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","3","7.95","2,385.00","Dec 4, 2025 11:55:28 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","HIMS260618C50000","HIMS 260618 50.00C","","6","","","","","","","","","","","","","","3","6.55","1,965.00","Dec 4, 2025 11:55:28 ET","US","USD","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","3","6.55","1,965.00","Dec 4, 2025 11:55:28 ET","US","USD","","","","","","","","","","","","","","","","",""
"Buy","ASTS","AST SpaceMobile","66.10","20","1,322.00","Cancelled","0@0.00","Dec 4, 2025 10:30:55 ET","Limit","Day","","Regular Trading Hours","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205/215","NVDA Vertical","3.01","3unit(s)","903.00","Filled","3unit(s)@3.01","Dec 3, 2025 09:32:21 ET","Limit","Day","","","","","US","USD","","","","","","","","","","3.98","1.8","","0.08","0.12","1.08","","0.01","","","","","","0.02","7.09"
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","3","16.06","4,818.00","Dec 3, 2025 10:04:11 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","3","13.05","3,915.00","Dec 3, 2025 10:04:11 ET","US","USD","","","","","","","","","","","","","","","","",""
"Buy","TQQQ","ProShares UltraPro QQQ ETF","54.65","10","546.50","Filled","10@54.6297","Dec 2, 2025 11:46:29 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","10","54.6297","546.30","Dec 2, 2025 11:46:29 ET","US","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","Market Price","30","0.00","Cancelled","0@0.00","Dec 2, 2025 11:33:53 ET","Market","Day","","Regular Trading Hours","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","TQQQ","ProShares UltraPro QQQ ETF","54.46","30","1,633.80","Filled","30@54.429","Dec 2, 2025 11:28:02 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","30","54.429","1,632.87","Dec 2, 2025 11:28:02 ET","US","USD","","","0.99","1","0.09","","","","","","","","","","","0","2.08"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","54.40","30","1,632.00","Filled","30@54.40","Dec 2, 2025 11:26:10 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","30","54.40","1,632.00","Dec 2, 2025 11:26:19 ET","US","USD","","","0.99","1","0.09","","","","","","","","","","","0","2.08"
"Sell","TQQQ","ProShares UltraPro QQQ ETF","Market Price","95","5,179.49","Filled","95@54.5209","Dec 2, 2025 11:23:41 ET","Market","Day","","Regular Trading Hours","","","US","USD","","95","54.5209","5,179.49","Dec 2, 2025 11:23:42 ET","US","USD","","","0.99","1","0.29","","","","","0.02","","","","","","0","2.3"
"Buy","NVDA260618C205/215","NVDA Vertical","2.80","3unit(s)","840.00","Cancelled","0unit(s)@0.00","Dec 2, 2025 11:17:27 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","TQQQ","ProShares UltraPro QQQ ETF","55.68","30","1,670.40","Filled","30@55.68","Dec 2, 2025 11:04:01 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","30","55.68","1,670.40","Dec 2, 2025 11:04:02 ET","US","USD","","","0.99","1","0.09","","","","","","","","","","","0","2.08"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","53.45","5","267.25","Filled","5@53.45","Dec 1, 2025 09:50:36 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","5","53.45","267.25","Dec 1, 2025 09:52:25 ET","US","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"Buy","NVDA260618C205/215","NVDA Vertical","2.75","3unit(s)","825.00","Cancelled","0unit(s)@0.00","Dec 1, 2025 09:39:20 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205/215","NVDA Vertical","3.05","4unit(s)","1,220.00","Filled","4unit(s)@3.05","Nov 26, 2025 10:06:35 ET","Limit","Day","","","","","US","USD","","","","","","","","","","5.2","2.4","","0.1","0.16","1.44","","0.01","","","","","","0.02","9.33"
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","4","","","","","","","","","","","","","","4","16.60","6,640.00","Nov 26, 2025 10:09:34 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","4","","","","","","","","","","","","","","4","13.55","5,420.00","Nov 26, 2025 10:09:34 ET","US","USD","","","","","","","","","","","","","","","","",""
"Buy","TQQQ","ProShares UltraPro QQQ ETF","Market Price","10","527.50","Filled","10@52.7499","Nov 26, 2025 10:03:16 ET","Market","Day","","Regular Trading Hours","","","US","USD","","10","52.7499","527.50","Nov 26, 2025 10:03:16 ET","US","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","52.70","10","527.00","Cancelled","0@0.00","Nov 26, 2025 10:03:04 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","01810","XIAOMI-W","36.50","400","14,600.00","Queued","0@0.00","Nov 24, 2025 00:38:13 HKT","Limit","GTC","Allow","","","","HK","HKD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","01810","XIAOMI-W","38.00","400","15,200.00","Filled","400@38.00","Nov 24, 2025 00:37:09 HKT","Limit","GTC","Allow","","","","HK","HKD","","400","38.00","15,200.00","Nov 24, 2025 10:06:10 HKT","HK","HKD","639","","4.56","15","0.64","","","","","","16","0.86","0.41","0.02","","","37.49"
"Buy","NVDA","NVIDIA","179.20","5","896.00","Filled","5@179.20","Nov 21, 2025 11:32:15 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","5","179.20","896.00","Nov 21, 2025 11:32:15 ET","US","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"Sell","IREN","IREN Ltd","42.70","50","2,135.00","Filled","50@42.70","Nov 20, 2025 22:59:36 ET","Limit","Day","","24 Hour Trading","","","US","USD","","50","42.70","2,135.00","Nov 20, 2025 22:59:37 ET","US","USD","","","0.99","1","0.15","","","","","0.01","","","","","","0","2.15"
"Sell","09988","BABA-W","148.80","100","14,880.00","Filled","100@148.90","Nov 21, 2025 09:40:22 HKT","Limit","Day","Allow","","","","HK","HKD","","100","148.90","14,890.00","Nov 21, 2025 09:40:22 HKT","HK","HKD","517","","4.47","15","0.63","","","","","","15","0.84","0.4","0.02","","","36.36"
"Sell","09988","BABA-W","Market Price","100","14,870.00","Filled","100@148.70","Nov 21, 2025 09:40:08 HKT","Market","Day","Not Allowed","","","","HK","HKD","","100","148.70","14,870.00","Nov 21, 2025 09:40:08 HKT","HK","HKD","141","","4.46","15","0.62","","","","","","15","0.84","0.4","0.02","","","36.34"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","Market Price","10","480.60","Filled","10@48.0598","Nov 20, 2025 12:58:57 ET","Market","Day","","Regular Trading Hours","","","US","USD","","10","48.0598","480.60","Nov 20, 2025 12:58:57 ET","US","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","48.04","10","480.40","Cancelled","0@0.00","Nov 20, 2025 12:58:45 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","IREN","IREN Ltd","53.06","50","2,653.00","Filled","50@52.85","Nov 20, 2025 10:30:15 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","50","52.85","2,642.50","Nov 20, 2025 10:30:16 ET","US","USD","","","0.99","1","0.15","","","","","","","","","","","0","2.14"
"Buy","NVDA260618C205/215","NVDA Vertical","3.90","6unit(s)","2,340.00","Filled","6unit(s)@3.86","Nov 20, 2025 10:12:55 ET","Limit","Day","","","","","US","USD","","","","","","","","","","7.8","3.6","","0.16","0.24","2.16","","0.02","","","","","","0.04","14.02"
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","6","","","","","","","","","","","","","","3","24.30","7,290.00","Nov 20, 2025 10:12:56 ET","US","USD","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","3","24.30","7,290.00","Nov 20, 2025 10:12:56 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","6","","","","","","","","","","","","","","3","20.44","6,132.00","Nov 20, 2025 10:12:56 ET","US","USD","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","3","20.44","6,132.00","Nov 20, 2025 10:12:56 ET","US","USD","","","","","","","","","","","","","","","","",""
"Buy","01810","XIAOMI-W","37.48","200","7,496.00","Filled","200@37.48","Nov 20, 2025 14:14:22 HKT","Limit","Day","Allow","","","","HK","HKD","","200","37.48","7,496.00","Nov 20, 2025 14:14:23 HKT","HK","HKD","3187","","3","15","0.31","","","","","","8","0.42","0.2","0.01","","","26.94"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","100.50","5","502.50","Filled","5@100.39","Nov 19, 2025 09:50:16 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","5","100.39","501.95","Nov 19, 2025 09:50:17 ET","US","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"Sell","01810","XIAOMI-W","38.52","200","7,704.00","Filled","200@38.52","Nov 19, 2025 15:06:42 HKT","Limit","Day","Allow","","","","HK","HKD","","200","38.52","7,704.00","Nov 19, 2025 15:06:45 HKT","HK","HKD","6997","","3","15","0.32","","","","","","8","0.44","0.21","0.01","","","26.98"
"Buy","01810","XIAOMI-W","38.50","400","15,400.00","Filled","400@38.50","Nov 19, 2025 14:56:24 HKT","Limit","Day","Allow","","","","HK","HKD","","400","38.50","15,400.00","Nov 19, 2025 14:56:33 HKT","HK","HKD","5998","","4.62","15","0.65","","","","","","16","0.87","0.42","0.02","","","37.58"
"Buy","NVDA260618C205/215","NVDA Vertical","3.28","2unit(s)","656.00","Filled","2unit(s)@3.28","Nov 18, 2025 11:40:58 ET","Limit","Day","","","","","US","USD","","","","","","","","","","3.98","1.2","","0.06","0.08","0.72","","0.01","","","","","","0","6.05"
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","2","","","","","","","","","","","","","","2","19.62","3,924.00","Nov 18, 2025 11:41:06 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","2","","","","","","","","","","","","","","2","16.34","3,268.00","Nov 18, 2025 11:41:06 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","TQQQ","ProShares UltraPro QQQ ETF","97.68","15","1,465.20","Filled","15@97.68","Nov 18, 2025 10:14:48 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","15","97.68","1,465.20","Nov 18, 2025 10:15:01 ET","US","USD","","","0.99","1","0.05","","","","","0.01","","","","","","0","2.05"
"Buy","COIN260417P230000","COIN 260417 230.00P","26.25","1","2,625.00","Filled","1@26.25","Nov 18, 2025 10:01:31 ET","Limit","Day","","","","","US","USD","","1","26.25","2,625.00","Nov 18, 2025 10:01:31 ET","US","USD","","","1.99","0.3","","0.01","0.02","0.18","","","","","","","","0","2.5"
"Buy","TSLA260417P290000","TSLA 260417 290.00P","13.60","1","1,360.00","Filled","1@13.58","Nov 18, 2025 09:55:41 ET","Limit","Day","","","","","US","USD","","1","13.58","1,358.00","Nov 18, 2025 09:55:42 ET","US","USD","","","1.99","0.3","","0.01","0.02","0.18","","","","","","","","0","2.5"
"Buy","TSLA260417P290000","TSLA 260417 290.00P","Market Price","1","0.00","Failed","0@0.00","Nov 18, 2025 09:55:32 ET","Market","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Short Sell","COIN260417P230000","COIN 260417 230.00P","25.10","1","2,510.00","Filled","1@25.10","Nov 17, 2025 10:36:55 ET","Limit","Day","","","","","US","USD","","1","25.10","2,510.00","Nov 17, 2025 10:37:05 ET","US","USD","","","1.99","0.3","","0.01","0.02","0.18","","0.01","","","","","","0","2.51"
"Sell","CONL","GraniteShares 2x Long COIN Daily ETF","Market Price","150","3,246.14","Filled","150@21.6409","Nov 17, 2025 10:35:46 ET","Market","Day","","Regular Trading Hours","","","US","USD","","150","21.6409","3,246.14","Nov 17, 2025 10:35:46 ET","US","USD","","","0.99","1","0.45","","","","","0.02","","","","","","0","2.46"
"Sell","CONL","GraniteShares 2x Long COIN Daily ETF","21.62","150","3,243.00","Cancelled","0@0.00","Nov 17, 2025 10:33:40 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","TQQQ","ProShares UltraPro QQQ ETF","102.65","15","1,539.75","Filled","15@102.6297","Nov 14, 2025 09:55:27 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","15","102.6297","1,539.45","Nov 14, 2025 09:55:28 ET","US","USD","","","0.99","1","0.05","","","","","","","","","","","0","2.04"
"Sell","FIG","Figma Inc","39.96","55","2,197.80","Filled","55@39.96","Nov 14, 2025 09:48:02 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","55","39.96","2,197.80","Nov 14, 2025 09:48:02 ET","US","USD","","","0.99","1","0.17","","","","","0.01","","","","","","0","2.17"
"Buy","CONL","GraniteShares 2x Long COIN Daily ETF","Market Price","150","3,507.00","Filled","150@23.38","Nov 14, 2025 09:46:18 ET","Market","Day","","Regular Trading Hours","","","US","USD","","150","23.38","3,507.00","Nov 14, 2025 09:46:19 ET","US","USD","","","0.99","1","0.45","","","","","","","","","","","0","2.44"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","Market Price","15","1,522.65","Filled","15@101.51","Nov 14, 2025 09:45:50 ET","Market","Day","","Regular Trading Hours","","","US","USD","","15","101.51","1,522.65","Nov 14, 2025 09:45:50 ET","US","USD","","","0.99","1","0.05","","","","","","","","","","","0","2.04"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","101.45","15","1,521.75","Cancelled","0@0.00","Nov 14, 2025 09:45:38 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","CONL","GraniteShares 2x Long COIN Daily ETF","22.79","20","455.80","Cancelled","0@0.00","Nov 14, 2025 09:43:10 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Short Sell","TSLA260417P290000","TSLA 260417 290.00P","15.10","1","1,510.00","Filled","1@15.11","Nov 14, 2025 09:36:35 ET","Limit","Day","","","","","US","USD","","1","15.11","1,511.00","Nov 14, 2025 09:36:35 ET","US","USD","","","1.99","0.3","","0.01","0.02","0.18","","0.01","","","","","","0","2.51"
"Sell","CONL","GraniteShares 2x Long COIN Daily ETF","22.50","170","3,825.00","Filled","170@22.57824","Nov 14, 2025 09:34:44 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","20","22.565","451.30","Nov 14, 2025 09:34:45 ET","US","USD","","","0.99","1","0.51","","","","","0.03","","","","","","0","2.53"
"","","","","","","","","","","","","","","","","","","150","22.58","3,387.00","Nov 14, 2025 09:34:45 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","BMNR","Bitmine Immersion Technologies","34.54","40","1,381.60","Filled","40@34.643","Nov 14, 2025 09:34:29 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","40","34.643","1,385.72","Nov 14, 2025 09:34:30 ET","US","USD","","","0.99","1","0.12","","","","","0.01","","","","","","0","2.12"
"Buy","TSLA","Tesla","350.10","25","8,752.50","Cancelled","0@0.00","Nov 14, 2025 06:23:05 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","HIMS","Hims & Hers Health","36.00","110","3,960.00","Filled","110@36.025","Nov 13, 2025 17:30:21 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","110","36.025","3,962.75","Nov 13, 2025 17:30:55 ET","US","USD","","","0.99","1","0.33","","","","","0.02","","","","","","0","2.34"
"Buy","CONL","GraniteShares 2x Long COIN Daily ETF","28.05","70","1,963.50","Filled","70@28.04","Nov 7, 2025 13:06:15 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","70","28.04","1,962.80","Nov 7, 2025 13:06:15 ET","US","USD","","","0.99","1","0.21","","","","","","","","","","","0","2.2"
"Sell","BRK.B","Berkshire Hathaway-B","497.00","5","2,485.00","Filled","5@497.06","Nov 7, 2025 13:04:54 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","5","497.06","2,485.30","Nov 7, 2025 13:05:24 ET","US","USD","","","0.99","1","0.02","","","","","0.01","","","","","","0","2.02"
"Buy","CONL","GraniteShares 2x Long COIN Daily ETF","26.04","100","2,604.00","Filled","100@26.04","Nov 7, 2025 09:59:37 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","100","26.04","2,604.00","Nov 7, 2025 09:59:37 ET","US","USD","","","0.99","1","0.3","","","","","","","","","","","0","2.29"
"Buy","FIG","Figma Inc","44.34","10","443.40","Filled","10@44.34","Nov 6, 2025 11:09:21 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","10","44.34","443.40","Nov 6, 2025 11:09:22 ET","US","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"Sell","AMZN","Amazon","247.07","10","2,470.70","Filled","10@247.1507","Nov 6, 2025 10:03:12 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","10","247.1507","2,471.51","Nov 6, 2025 10:03:13 ET","US","USD","","","0.99","1","0.03","","","","","0.01","","","","","","0","2.03"
"Buy","BMNR","Bitmine Immersion Technologies","40.99","40","1,639.60","Filled","40@40.99","Nov 5, 2025 10:01:03 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","27","40.99","1,106.73","Nov 5, 2025 10:01:12 ET","US","USD","","","0.99","1","0.12","","","","","","","","","","","0","2.11"
"","","","","","","","","","","","","","","","","","","2","40.99","81.98","Nov 5, 2025 10:01:12 ET","US","USD","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","11","40.99","450.89","Nov 5, 2025 10:01:12 ET","US","USD","","","","","","","","","","","","","","","","",""
"Buy","01810","XIAOMI-W","42.80","200","8,560.00","Filled","200@42.80","Nov 5, 2025 11:25:28 HKT","Limit","Day","Allow","","","","HK","HKD","","200","42.80","8,560.00","Nov 5, 2025 11:25:45 HKT","HK","HKD","9033","","3","15","0.36","","","","","","9","0.48","0.23","0.01","","","28.08"
