"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","订单类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","期权监管费","期权清算费","期权交收费","证监会规费","交易活动费","交易系统使用费","综合审计跟踪监管费","合计费用"
"买入","AMZN","亚马逊","227.80","5","1,139.00","全部成交","5@227.80","2025/10/10 09:46:55 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","227.80","1,139.00","2025/10/10 09:46:55 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖空","BIDU251219C150000","BIDU 251219 150.00C","5.70","3","1,710.00","全部成交","3@5.70","2025/10/10 09:32:22 (美东)","限价单","当日有效","","","","","美股","USD","","3","5.70","1,710.00","2025/10/10 09:32:28 (美东)","美股","USD","","","1.99","0.9","","","","","","0.05","0.06","0.54","","0.01","","0.01","3.56"
"卖空","BIDU251219C160000","BIDU 251219 160.00C","4.05","3","1,215.00","已撤单","0@0.00","2025/10/10 09:31:51 (美东)","限价单","当日有效","","","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","AMZN","亚马逊","224.04","5","1,120.20","全部成交","5@224.04","2025/10/09 12:20:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","224.04","1,120.20","2025/10/09 12:20:48 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖出","FIG","Figma Inc","市价","10","678.81","全部成交","10@67.8814","2025/10/09 09:52:12 (美东)","市价单","当日有效","","盘中","","","美股","USD","","10","67.8814","678.81","2025/10/09 09:52:12 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","0.01","","0","2.03"
"卖出","FIG","Figma Inc","68.03","18","1,224.54","下单失败","0@0.00","2025/10/09 09:51:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","OSCR","Oscar Health","市价","15","329.85","全部成交","15@21.99","2025/10/08 09:47:33 (美东)","市价单","当日有效","","盘中","","","美股","USD","","15","21.99","329.85","2025/10/08 09:47:34 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","0.01","","0","2.05"
"买入","TSLA","特斯拉","430.80","8","3,446.40","全部成交","8@430.625","2025/10/08 09:44:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","8","430.625","3,445.00","2025/10/08 09:44:47 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"买入","HIMS","Hims & Hers Health","56.87","50","2,843.50","全部成交","50@56.87","2025/10/07 12:27:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","50","56.87","2,843.50","2025/10/07 12:27:48 (美东)","美股","USD","","","0.99","1","0.15","","","","","","","","","","","0","2.14"
"买入","HIMS","Hims & Hers Health","市价","25","1,420.44","全部成交","25@56.8176","2025/10/07 12:27:32 (美东)","市价单","当日有效","","盘中","","","美股","USD","","25","56.8176","1,420.44","2025/10/07 12:27:32 (美东)","美股","USD","","","0.99","1","0.08","","","","","","","","","","","0","2.07"
"买入","HIMS","Hims & Hers Health","55.71","25","1,392.75","已撤单","0@0.00","2025/10/07 12:27:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","HIMS","Hims & Hers Health","55.73","25","1,393.25","已撤单","0@0.00","2025/10/07 12:27:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","OSCR","Oscar Health","22.84","15","342.60","全部成交","15@22.8503","2025/10/07 11:42:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","22.8503","342.75","2025/10/07 11:42:30 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","0.01","","0","2.05"
"买入","AMZN260618C250000","AMZN 260618 250.00C","16.00","1","1,600.00","全部成交","1@16.00","2025/10/07 11:13:54 (美东)","限价单","当日有效","","","","","美股","USD","","1","16.00","1,600.00","2025/10/07 11:13:54 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","","","0","2.51"
"卖出","BMNR","Bitmine Immersion Technologies","59.53","30","1,785.90","全部成交","30@59.67","2025/10/07 11:10:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","59.67","1,790.10","2025/10/07 11:10:12 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","0.01","","0","2.09"
"卖出","BMNR","Bitmine Immersion Technologies","60.50","20","1,210.00","全部成交","20@60.5305","2025/10/07 11:05:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","60.5305","1,210.61","2025/10/07 11:05:30 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","0.01","","0","2.06"
"买入","FIG","Figma Inc","60.89","10","608.90","全部成交","10@60.89","2025/10/06 13:52:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","60.89","608.90","2025/10/06 13:52:53 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"卖出","FIG","Figma Inc","市价","55","3,284.41","全部成交","55@59.7166","2025/10/06 13:48:28 (美东)","市价单","当日有效","","盘中","","","美股","USD","","55","59.7166","3,284.41","2025/10/06 13:48:28 (美东)","美股","USD","","","0.99","1","0.17","","","","","","","","","0.01","","0","2.17"
"买入","AMZN","亚马逊","217.30","5","1,086.50","全部成交","5@217.20","2025/10/06 09:49:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","217.20","1,086.00","2025/10/06 09:49:44 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","18.78","30","563.40","全部成交","30@18.7835","2025/10/03 13:28:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","18.7835","563.51","2025/10/03 13:28:28 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","0.01","","0","2.09"
"买入","IBIT","比特币ETF-iShares","70.10","1","70.10","下单失败","0@0.00","2025/10/03 12:16:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLL","2倍做多TSLA ETF-Direxion","19.70","15","295.50","全部成交","15@19.705","2025/10/03 10:11:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","19.705","295.58","2025/10/03 10:11:12 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","0.01","","0","2.05"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","19.79","15","296.85","已撤单","0@0.00","2025/10/03 10:10:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLL","2倍做多TSLA ETF-Direxion","19.78","15","296.70","已撤单","0@0.00","2025/10/03 10:10:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLL","2倍做多TSLA ETF-Direxion","20.97","15","314.55","全部成交","15@20.9801","2025/10/02 13:22:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","20.9801","314.70","2025/10/02 13:22:17 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","0.01","","0","2.05"
"买入","18099","小米摩通五乙购B.C","0.049","80,000","3,920.00","全部成交","80,000@0.049","2025/10/02 09:38:00 (香港)","限价单","当日有效","不允许","","","","港股","HKD","","80,000","0.049","3,920.00","2025/10/02 09:38:08 (香港)","港股","HKD","1494","","3","15","0.16","0","0.22","0.11","0.01","","","","","","","","18.5"
"买入","HIMS","Hims & Hers Health","56.00","25","1,400.00","全部成交","25@56.00","2025/10/01 11:50:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","25","56.00","1,400.00","2025/10/01 15:20:56 (美东)","美股","USD","","","0.99","1","0.08","","","","","","","","","","","0","2.07"
"买入","BMNR","Bitmine Immersion Technologies","50.66","10","506.60","全部成交","10@50.65","2025/09/26 13:33:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","50.65","506.50","2025/09/26 13:33:16 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"买入","BMNR","Bitmine Immersion Technologies","50.70","19","963.30","全部成交","19@50.69789","2025/09/26 13:32:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","4","50.69","202.76","2025/09/26 13:32:35 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","","","0","2.05"
"","","","","","","","","","","","","","","","","","","15","50.70","760.50","2025/09/26 13:32:35 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"卖出","01810","小米集团-W","59.25","200","11,850.00","全部成交","200@59.25","2025/09/25 15:03:31 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","59.25","11,850.00","2025/09/25 15:03:31 (香港)","港股","HKD","6998","","3.56","15","0.5","12","0.67","0.32","0.02","","","","","","","","32.07"
"买入","BMNR","Bitmine Immersion Technologies","53.74","1","53.74","全部成交","1@53.73","2025/09/23 13:40:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1","53.73","53.73","2025/09/23 13:40:26 (美东)","美股","USD","","","0.99","1","0","","","","","","","","","","","0","1.99"
"买入","BMNR","Bitmine Immersion Technologies","57.40","10","574.00","下单失败","0@0.00","2025/09/23 09:40:22 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","BMNR","Bitmine Immersion Technologies","54.00","15","810.00","已撤单","0@0.00","2025/09/22 13:32:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","BMNR","Bitmine Immersion Technologies","55.14","15","827.10","全部成交","15@55.14","2025/09/22 13:20:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","55.14","827.10","2025/09/22 13:28:43 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","","","0","2.04"
"买入","BMNR","Bitmine Immersion Technologies","54.97","5","274.85","全部成交","5@54.9201","2025/09/22 12:41:43 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","54.9201","274.60","2025/09/22 12:41:44 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"买入","FIG","Figma Inc","57.22","5","286.10","全部成交","5@57.22","2025/09/22 11:23:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","57.22","286.10","2025/09/22 11:23:44 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖出","BMNR","Bitmine Immersion Technologies","55.91","60","3,354.60","全部成交","60@56.27","2025/09/22 11:18:29 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","60","56.27","3,376.20","2025/09/22 11:18:29 (美东)","美股","USD","","","0.99","1","0.18","","","","","","","","","0.01","","0","2.18"
"卖空","BIDU260116C175000","BIDU 260116 175.00C","6.15","1","615.00","已撤单","0@0.00","2025/09/22 10:41:23 (美东)","限价单","当日有效","","","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","BMNR","Bitmine Immersion Technologies","58.97","10","589.70","全部成交","10@58.97","2025/09/22 10:00:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","58.97","589.70","2025/09/22 10:00:39 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"卖出","HIMS","Hims & Hers Health","57.55","20","1,151.00","全部成交","20@57.55","2025/09/22 09:59:48 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","57.55","1,151.00","2025/09/22 09:59:48 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","0.01","","0","2.06"
"买入","BMNR","Bitmine Immersion Technologies","58.10","50","2,905.00","全部成交","50@58.10","2025/09/22 09:52:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","50","58.10","2,905.00","2025/09/22 10:05:26 (美东)","美股","USD","","","0.99","1","0.15","","","","","","","","","","","0","2.14"
"买入","BIDU260116C175000","BIDU 260116 175.00C","7.20","1","720.00","全部成交","1@7.20","2025/09/22 09:38:00 (美东)","限价单","当日有效","","","","","美股","USD","","1","7.20","720.00","2025/09/22 09:38:10 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","","","0","2.51"
"买入","MSTR260116P300000","MSTR 260116 300.00P","28.20","1","2,820.00","全部成交","1@28.20","2025/09/22 09:36:21 (美东)","限价单","当日有效","","","","","美股","USD","","1","28.20","2,820.00","2025/09/22 09:36:28 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","","","0","2.51"
"卖出","MSTR","Strategy","331.87","10","3,318.70","全部成交","10@331.87","2025/09/22 09:36:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","331.87","3,318.70","2025/09/22 09:36:16 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","0.01","","0","2.03"
"买入","MSTR","Strategy","339.46","5","1,697.30","全部成交","5@339.46","2025/09/19 14:10:02 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","339.46","1,697.30","2025/09/19 14:10:02 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖空","BIDU260116C175000","BIDU 260116 175.00C","6.40","1","640.00","全部成交","1@6.40","2025/09/19 12:16:16 (美东)","限价单","当日有效","","","","","美股","USD","","1","6.40","640.00","2025/09/19 12:16:16 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","0.01","","0","2.52"
"买入","UNH","联合健康","337.03","10","3,370.30","全部成交","10@337.03","2025/09/19 11:12:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","6","337.03","2,022.18","2025/09/19 11:12:41 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"","","","","","","","","","","","","","","","","","","4","337.03","1,348.12","2025/09/19 11:12:41 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"卖出","HIMS","Hims & Hers Health","58.80","10","588.00","全部成交","10@58.80","2025/09/19 09:40:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","58.80","588.00","2025/09/19 10:36:52 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","0.01","","0","2.03"
"买入","UNH","联合健康","335.00","5","1,675.00","全部成交","5@335.00","2025/09/19 09:36:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","335.00","1,675.00","2025/09/19 09:45:02 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖出","INOD","Innodata","70.25","15","1,053.75","全部成交","15@70.25","2025/09/19 09:30:10 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","70.25","1,053.75","2025/09/19 09:30:11 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","0.01","","0","2.05"
