Side,Symbol,Name,Order Price,Order Qty,Order Amount,Status,Filled@Avg Price,Order Time,Order Type,Time-in-Force,Allow Pre-Market,Session,Trigger price,Position Opening,Markets,Currency,Order Source,Fill Qty,Fill Price,Fill Amount,Fill Time,Markets.1,Currency.1,Counterparty,Remarks,Commission,Platform Fees,Settlement Fees,Options Regulatory Fees,OCC Fees,Option Settlement Fees,SEC Fees,Trading Activity Fees,Stamp Duty,Trading Fees,SFC Levy,FRC Levy,Trading Tariff,Consolidated Audit Trail Fees,Total
Buy,HIMS260618C45000,HIMS 260618 45.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,HIMS260618C50000,HIMS 260618 50.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205/215,NVDA Vertical,2.2,3unit(s),,Cancelled,0unit(s)@0.00,"Dec 12, 2025 11:17:20 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,TQQQ,ProShares UltraPro QQQ ETF,Market Price,9,,Filled,9@53.62,"Dec 12, 2025 11:16:18 ET",Market,Day,,Regular Trading Hours,,,US,USD,,9,55.38,498.42,"Dec 12, 2025 11:16:18 ET",US,USD,,,1.04,0.98,0.03,,,,,,,,,,,0.0,2.05
Buy,NVDA260618C205/215,NVDA Vertical,2.36,3unit(s),,Cancelled,0unit(s)@0.00,"Dec 11, 2025 09:35:50 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205/215,NVDA Vertical,2.72,3unit(s),,Cancelled,0unit(s)@0.00,"Dec 10, 2025 10:41:39 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS260618C45/50,HIMS Vertical,0.94,6unit(s),,Cancelled,0unit(s)@0.00,"Dec 10, 2025 09:31:55 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS260618C45000,HIMS 260618 45.00C,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,HIMS260618C50000,HIMS 260618 50.00C,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205/215,NVDA Vertical,2.8,3unit(s),,Filled,3unit(s)@2.80,"Dec 8, 2025 13:23:57 ET",Limit,GTC,,,,,US,USD,,,,,,,,,,4.26,1.75,,0.07,0.13,1.02,,0.01,,,,,,0.02,7.26
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,3,15.63,46.89,"Dec 11, 2025 09:56:20 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,3,10.87,32.61,"Dec 11, 2025 09:56:20 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,HIMS260618C45/50,HIMS Vertical,0.91,6unit(s),,Cancelled,0unit(s)@0.00,"Dec 5, 2025 10:04:55 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS260618C45000,HIMS 260618 45.00C,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,HIMS260618C50000,HIMS 260618 50.00C,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS260618C45/50,HIMS Vertical,1.32,6unit(s),,Filled,6unit(s)@1.40,"Dec 4, 2025 10:45:52 ET",Limit,Day,,,,,US,USD,,,,,,,,,,8.05,3.47,,0.17,0.24,2.31,,0.02,,,,,,0.04,14.3
Buy,HIMS260618C45000,HIMS 260618 45.00C,,6,,,,,,,,,,,,,,3,7.49,22.47,"Dec 4, 2025 11:55:28 ET",US,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,3,8.21,24.63,"Dec 4, 2025 11:55:28 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,HIMS260618C50000,HIMS 260618 50.00C,,6,,,,,,,,,,,,,,3,6.1,18.3,"Dec 4, 2025 11:55:28 ET",US,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,3,6.12,18.36,"Dec 4, 2025 11:55:28 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,ASTS,AST SpaceMobile,68.08,21,1429.68,Cancelled,0@0.0,"Dec 4, 2025 10:30:55 ET",Limit,Day,,Regular Trading Hours,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205/215,NVDA Vertical,3.04,3unit(s),,Filled,3unit(s)@3.01,"Dec 3, 2025 09:32:21 ET",Limit,Day,,,,,US,USD,,,,,,,,,,4.18,1.83,,0.09,0.12,1.0,,0.01,,,,,,0.02,7.25
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,3,14.7,44.1,"Dec 3, 2025 10:04:11 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,3,11.75,35.25,"Dec 3, 2025 10:04:11 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,TQQQ,ProShares UltraPro QQQ ETF,51.59,9,464.31,Filled,11@53.48,"Dec 2, 2025 11:46:29 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,54.09,594.99,"Dec 2, 2025 11:46:29 ET",US,USD,,,0.98,0.9,0.03,,,,,,,,,,,0.0,1.91
Buy,TQQQ,ProShares UltraPro QQQ ETF,Market Price,29,,Cancelled,0@0.0,"Dec 2, 2025 11:33:53 ET",Market,Day,,Regular Trading Hours,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,TQQQ,ProShares UltraPro QQQ ETF,55.43,32,1773.76,Filled,27@56.42,"Dec 2, 2025 11:28:02 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,32,55.45,1774.4,"Dec 2, 2025 11:28:02 ET",US,USD,,,1.03,0.96,0.1,,,,,,,,,,,0.0,2.09
Buy,TQQQ,ProShares UltraPro QQQ ETF,57.77,30,1733.1,Filled,28@51.3,"Dec 2, 2025 11:26:10 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,30,52.13,1563.9,"Dec 2, 2025 11:26:19 ET",US,USD,,,0.92,1.1,0.1,,,,,,,,,,,0.0,2.12
Sell,TQQQ,ProShares UltraPro QQQ ETF,Market Price,99,,Filled,89@52.12,"Dec 2, 2025 11:23:41 ET",Market,Day,,Regular Trading Hours,,,US,USD,,86,51.59,4436.74,"Dec 2, 2025 11:23:42 ET",US,USD,,,0.93,1.02,0.29,,,,,0.02,,,,,,0.0,2.26
Buy,NVDA260618C205/215,NVDA Vertical,2.52,3unit(s),,Cancelled,0unit(s)@0.00,"Dec 2, 2025 11:17:27 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,TQQQ,ProShares UltraPro QQQ ETF,59.09,29,1713.61,Filled,32@50.5,"Dec 2, 2025 11:04:01 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,33,57.98,1913.34,"Dec 2, 2025 11:04:02 ET",US,USD,,,0.97,1.1,0.08,,,,,,,,,,,0.0,2.15
Buy,TQQQ,ProShares UltraPro QQQ ETF,55.57,5,277.85,Filled,5@50.73,"Dec 1, 2025 09:50:36 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,55.62,278.1,"Dec 1, 2025 09:52:25 ET",US,USD,,,0.96,0.99,0.02,,,,,,,,,,,0.0,1.97
Buy,NVDA260618C205/215,NVDA Vertical,2.66,3unit(s),,Cancelled,0unit(s)@0.00,"Dec 1, 2025 09:39:20 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205/215,NVDA Vertical,2.84,4unit(s),,Filled,4unit(s)@3.05,"Nov 26, 2025 10:06:35 ET",Limit,Day,,,,,US,USD,,,,,,,,,,5.25,2.23,,0.09,0.17,1.36,,0.01,,,,,,0.02,9.13
Buy,NVDA260618C205000,NVDA 260618 205.00C,,4,,,,,,,,,,,,,,4,16.45,65.8,"Nov 26, 2025 10:09:34 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,4,,,,,,,,,,,,,,4,14.06,56.24,"Nov 26, 2025 10:09:34 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,TQQQ,ProShares UltraPro QQQ ETF,Market Price,9,,Filled,10@51.82,"Nov 26, 2025 10:03:16 ET",Market,Day,,Regular Trading Hours,,,US,USD,,11,57.22,629.42,"Nov 26, 2025 10:03:16 ET",US,USD,,,1.03,0.91,0.03,,,,,,,,,,,0.0,1.97
Buy,TQQQ,ProShares UltraPro QQQ ETF,57.52,11,632.72,Cancelled,0@0.0,"Nov 26, 2025 10:03:04 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,35.31,408,14406.48,Queued,0@0.0,"Nov 24, 2025 00:38:13 HKT",Limit,GTC,Allow,,,,HK,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,34.9,361,12598.9,Filled,404@34.66,"Nov 24, 2025 00:37:09 HKT",Limit,GTC,Allow,,,,HK,HKD,,417,40.19,16759.23,"Nov 24, 2025 10:06:10 HKT",HK,HKD,,,4.75,15.95,0.64,,,,,,16.67,0.83,0.44,0.02,,,39.3
Buy,NVDA,NVIDIA,164.75,5,823.75,Filled,5@166.2,"Nov 21, 2025 11:32:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,183.68,918.4,"Nov 21, 2025 11:32:15 ET",US,USD,,,0.92,0.94,0.02,,,,,,,,,,,0.0,1.88
Sell,IREN,IREN Ltd,45.67,47,2146.49,Filled,47@45.98,"Nov 20, 2025 22:59:36 ET",Limit,Day,,24 Hour Trading,,,US,USD,,46,44.08,2027.68,"Nov 20, 2025 22:59:37 ET",US,USD,,,1.08,0.97,0.16,,,,,0.01,,,,,,0.0,2.22
Sell,09988,BABA-W,151.89,93,14125.77,Filled,101@152.79,"Nov 21, 2025 09:40:22 HKT",Limit,Day,Allow,,,,HK,HKD,,93,161.81,15048.33,"Nov 21, 2025 09:40:22 HKT",HK,HKD,,,4.03,15.77,0.58,,,,,,14.96,0.77,0.43,0.02,,,36.56
Sell,09988,BABA-W,Market Price,99,,Filled,106@157.47,"Nov 21, 2025 09:40:08 HKT",Market,Day,Not Allowed,,,,HK,HKD,,95,146.47,13914.65,"Nov 21, 2025 09:40:08 HKT",HK,HKD,,,4.1,16.06,0.64,,,,,,14.98,0.77,0.4,0.02,,,36.97
Buy,TQQQ,ProShares UltraPro QQQ ETF,Market Price,10,,Filled,11@50.77,"Nov 20, 2025 12:58:57 ET",Market,Day,,Regular Trading Hours,,,US,USD,,11,48.49,533.39,"Nov 20, 2025 12:58:57 ET",US,USD,,,0.92,0.92,0.03,,,,,,,,,,,0.0,1.87
Buy,TQQQ,ProShares UltraPro QQQ ETF,50.99,9,458.91,Cancelled,0@0.0,"Nov 20, 2025 12:58:45 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,IREN,IREN Ltd,55.5,49,2719.5,Filled,49@53.32,"Nov 20, 2025 10:30:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,49,54.41,2666.09,"Nov 20, 2025 10:30:16 ET",US,USD,,,1.07,0.91,0.14,,,,,,,,,,,0.0,2.12
Buy,NVDA260618C205/215,NVDA Vertical,3.93,6unit(s),,Filled,6unit(s)@3.86,"Nov 20, 2025 10:12:55 ET",Limit,Day,,,,,US,USD,,,,,,,,,,7.7,3.92,,0.15,0.26,2.0,,0.02,,,,,,0.04,14.09
Buy,NVDA260618C205000,NVDA 260618 205.00C,,6,,,,,,,,,,,,,,3,26.28,78.84,"Nov 20, 2025 10:12:56 ET",US,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,3,25.89,77.67,"Nov 20, 2025 10:12:56 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,6,,,,,,,,,,,,,,3,18.69,56.07,"Nov 20, 2025 10:12:56 ET",US,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,3,19.07,57.21,"Nov 20, 2025 10:12:56 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,41.03,219,8985.57,Filled,199@40.57,"Nov 20, 2025 14:14:22 HKT",Limit,Day,Allow,,,,HK,HKD,,220,36.04,7928.8,"Nov 20, 2025 14:14:23 HKT",HK,HKD,,,2.74,16.28,0.28,,,,,,8.55,0.46,0.19,0.01,,,28.51
Buy,TQQQ,ProShares UltraPro QQQ ETF,98.06,5,490.3,Filled,5@98.15,"Nov 19, 2025 09:50:16 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,105.39,526.95,"Nov 19, 2025 09:50:17 ET",US,USD,,,0.93,1.07,0.02,,,,,,,,,,,0.0,2.02
Sell,01810,XIAOMI-W,38.92,201,7822.92,Filled,187@37.12,"Nov 19, 2025 15:06:42 HKT",Limit,Day,Allow,,,,HK,HKD,,200,39.05,7810.0,"Nov 19, 2025 15:06:45 HKT",HK,HKD,,,2.75,15.96,0.34,,,,,,8.59,0.43,0.19,0.01,,,28.27
Buy,01810,XIAOMI-W,41.04,401,16457.04,Filled,378@41.55,"Nov 19, 2025 14:56:24 HKT",Limit,Day,Allow,,,,HK,HKD,,438,36.87,16149.06,"Nov 19, 2025 14:56:33 HKT",HK,HKD,,,4.19,13.54,0.65,,,,,,14.8,0.85,0.38,0.02,,,34.43
Buy,NVDA260618C205/215,NVDA Vertical,3.36,2unit(s),,Filled,2unit(s)@3.28,"Nov 18, 2025 11:40:58 ET",Limit,Day,,,,,US,USD,,,,,,,,,,3.89,1.25,,0.06,0.07,0.67,,0.01,,,,,,0.0,5.95
Buy,NVDA260618C205000,NVDA 260618 205.00C,,2,,,,,,,,,,,,,,2,18.15,36.3,"Nov 18, 2025 11:41:06 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,2,,,,,,,,,,,,,,2,16.96,33.92,"Nov 18, 2025 11:41:06 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,TQQQ,ProShares UltraPro QQQ ETF,104.75,15,1571.25,Filled,16@89.06,"Nov 18, 2025 10:14:48 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,16,101.58,1625.28,"Nov 18, 2025 10:15:01 ET",US,USD,,,1.09,0.92,0.05,,,,,0.01,,,,,,0.0,2.07
Buy,COIN260417P230000,COIN 260417 230.00P,26.66,1,26.66,Filled,1@26.4,"Nov 18, 2025 10:01:31 ET",Limit,Day,,,,,US,USD,,1,28.57,28.57,"Nov 18, 2025 10:01:31 ET",US,USD,,,2.04,0.3,,0.01,0.02,0.16,,,,,,,,0.0,2.53
Buy,TSLA260417P290000,TSLA 260417 290.00P,14.16,1,14.16,Filled,1@14.94,"Nov 18, 2025 09:55:41 ET",Limit,Day,,,,,US,USD,,1,13.58,13.58,"Nov 18, 2025 09:55:42 ET",US,USD,,,2.0,0.27,,0.01,0.02,0.19,,,,,,,,0.0,2.49
Buy,TSLA260417P290000,TSLA 260417 290.00P,Market Price,1,,Failed,0@0.0,"Nov 18, 2025 09:55:32 ET",Market,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Short Sell,COIN260417P230000,COIN 260417 230.00P,22.82,1,22.82,Filled,1@23.09,"Nov 17, 2025 10:36:55 ET",Limit,Day,,,,,US,USD,,1,25.07,25.07,"Nov 17, 2025 10:37:05 ET",US,USD,,,2.07,0.28,,0.01,0.02,0.19,,0.01,,,,,,0.0,2.58
Sell,CONL,GraniteShares 2x Long COIN Daily ETF,Market Price,135,,Filled,155@20.63,"Nov 17, 2025 10:35:46 ET",Market,Day,,Regular Trading Hours,,,US,USD,,147,19.82,2913.54,"Nov 17, 2025 10:35:46 ET",US,USD,,,1.01,1.01,0.45,,,,,0.02,,,,,,0.0,2.49
Sell,CONL,GraniteShares 2x Long COIN Daily ETF,20.44,159,3249.96,Cancelled,0@0.0,"Nov 17, 2025 10:33:40 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,TQQQ,ProShares UltraPro QQQ ETF,98.33,15,1474.95,Filled,16@111.19,"Nov 14, 2025 09:55:27 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,16,93.18,1490.88,"Nov 14, 2025 09:55:28 ET",US,USD,,,1.08,0.94,0.05,,,,,,,,,,,0.0,2.07
Sell,FIG,Figma Inc,36.6,58,2122.8,Filled,50@43.93,"Nov 14, 2025 09:48:02 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,50,39.42,1971.0,"Nov 14, 2025 09:48:02 ET",US,USD,,,1.05,1.0,0.17,,,,,0.01,,,,,,0.0,2.23
Buy,CONL,GraniteShares 2x Long COIN Daily ETF,Market Price,154,,Filled,142@25.0,"Nov 14, 2025 09:46:18 ET",Market,Day,,Regular Trading Hours,,,US,USD,,143,22.55,3224.65,"Nov 14, 2025 09:46:19 ET",US,USD,,,1.02,0.95,0.49,,,,,,,,,,,0.0,2.46
Buy,TQQQ,ProShares UltraPro QQQ ETF,Market Price,16,,Filled,16@98.56,"Nov 14, 2025 09:45:50 ET",Market,Day,,Regular Trading Hours,,,US,USD,,16,96.44,1543.04,"Nov 14, 2025 09:45:50 ET",US,USD,,,0.98,1.0,0.05,,,,,,,,,,,0.0,2.03
Buy,TQQQ,ProShares UltraPro QQQ ETF,96.03,16,1536.48,Cancelled,0@0.0,"Nov 14, 2025 09:45:38 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,CONL,GraniteShares 2x Long COIN Daily ETF,20.97,19,398.43,Cancelled,0@0.0,"Nov 14, 2025 09:43:10 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Short Sell,TSLA260417P290000,TSLA 260417 290.00P,14.43,1,14.43,Filled,1@16.15,"Nov 14, 2025 09:36:35 ET",Limit,Day,,,,,US,USD,,1,13.87,13.87,"Nov 14, 2025 09:36:35 ET",US,USD,,,1.87,0.31,,0.01,0.02,0.16,,0.01,,,,,,0.0,2.38
Sell,CONL,GraniteShares 2x Long COIN Daily ETF,23.11,172,3974.92,Filled,159@23.0,"Nov 14, 2025 09:34:44 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,19,24.65,468.35,"Nov 14, 2025 09:34:45 ET",US,USD,,,1.02,0.93,0.49,,,,,0.03,,,,,,0.0,2.47
,,,,,,,,,,,,,,,,,,163,24.1,3928.3,"Nov 14, 2025 09:34:45 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,BMNR,Bitmine Immersion Technologies,33.61,43,1445.23,Filled,42@36.01,"Nov 14, 2025 09:34:29 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,39,35.16,1371.24,"Nov 14, 2025 09:34:30 ET",US,USD,,,1.05,1.04,0.11,,,,,0.01,,,,,,0.0,2.21
Buy,TSLA,Tesla,341.01,23,7843.23,Cancelled,0@0.0,"Nov 14, 2025 06:23:05 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,HIMS,Hims & Hers Health,33.91,116,3933.56,Filled,119@32.63,"Nov 13, 2025 17:30:21 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,114,39.27,4476.78,"Nov 13, 2025 17:30:55 ET",US,USD,,,0.95,0.9,0.36,,,,,0.02,,,,,,0.0,2.23
Buy,CONL,GraniteShares 2x Long COIN Daily ETF,26.74,70,1871.8,Filled,73@30.55,"Nov 7, 2025 13:06:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,72,30.84,2220.48,"Nov 7, 2025 13:06:15 ET",US,USD,,,0.9,1.02,0.22,,,,,,,,,,,0.0,2.14
Sell,BRK.B,Berkshire Hathaway-B,540.4,5,2702.0,Filled,5@503.33,"Nov 7, 2025 13:04:54 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,514.19,2570.95,"Nov 7, 2025 13:05:24 ET",US,USD,,,1.01,1.03,0.02,,,,,0.01,,,,,,0.0,2.07
Buy,CONL,GraniteShares 2x Long COIN Daily ETF,26.81,103,2761.43,Filled,94@28.58,"Nov 7, 2025 09:59:37 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,102,24.84,2533.68,"Nov 7, 2025 09:59:37 ET",US,USD,,,0.99,0.91,0.3,,,,,,,,,,,0.0,2.2
Buy,FIG,Figma Inc,45.31,11,498.41,Filled,11@44.27,"Nov 6, 2025 11:09:21 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,40.26,442.86,"Nov 6, 2025 11:09:22 ET",US,USD,,,0.94,0.93,0.03,,,,,,,,,,,0.0,1.9
Sell,AMZN,Amazon,230.82,9,2077.38,Filled,10@246.68,"Nov 6, 2025 10:03:12 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,259.82,2598.2,"Nov 6, 2025 10:03:13 ET",US,USD,,,0.92,0.96,0.03,,,,,0.01,,,,,,0.0,1.92
Buy,BMNR,Bitmine Immersion Technologies,42.87,42,1800.54,Filled,37@38.8,"Nov 5, 2025 10:01:03 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,25,40.75,1018.75,"Nov 5, 2025 10:01:12 ET",US,USD,,,0.9,1.06,0.11,,,,,,,,,,,0.0,2.07
,,,,,,,,,,,,,,,,,,2,42.23,84.46,"Nov 5, 2025 10:01:12 ET",US,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,11,44.4,488.4,"Nov 5, 2025 10:01:12 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,39.92,198,7904.16,Filled,189@43.03,"Nov 5, 2025 11:25:28 HKT",Limit,Day,Allow,,,,HK,HKD,,205,40.07,8214.35,"Nov 5, 2025 11:25:45 HKT",HK,HKD,,,2.84,15.35,0.33,,,,,,8.27,0.45,0.21,0.01,,,27.46
