方向,代码,名称,订单价格,订单数量,订单金额,交易状态,已成交@均价,下单时间,订单类型,期限,盘前竞价,时段,触发价,允许开仓,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场.1,币种.1,对手经纪,备注,佣金,平台使用费,交收费,印花税,交易费,证监会征费,财汇局征费,期权监管费,期权清算费,期权交收费,证监会规费,交易活动费,交易系统使用费,综合审计跟踪监管费,合计费用
卖空,AMZN260618P195000,AMZN 260618 195.00P,12.64,1,12.64,全部成交,1@12.11,2025/10/14 11:56:24 (美东),限价单,当日有效,,,,,美股,USD,,1,11.85,11.85,2025/10/14 11:56:25 (美东),美股,USD,,,2.16,0.3,,,,,,0.02,0.02,0.17,,0.01,,0.0,2.68
卖出,UNH,联合健康,369.32,4,1477.28,全部成交,4@338.54,2025/10/14 10:01:47 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,4,383.16,1532.64,2025/10/14 10:01:55 (美东),美股,USD,,,1.09,0.95,0.01,,,,,,,,,0.01,,0.0,2.06
卖出,HIMS,Hims & Hers Health,54.02,20,1080.4,全部成交,19@47.41,2025/10/14 09:34:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,21,50.8,1066.8,2025/10/14 09:34:28 (美东),美股,USD,,,1.02,0.95,0.06,,,,,,,,,0.01,,0.0,2.04
卖出,AMZN,亚马逊,231.92,8,1855.36,全部成交,7@230.88,2025/10/14 09:31:40 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,7,205.49,1438.43,2025/10/14 09:31:41 (美东),美股,USD,,,0.99,1.05,0.02,,,,,,,,,0.01,,0.0,2.07
卖出,AMZN260618C250000,AMZN 260618 250.00C,13.23,1,13.23,全部成交,1@12.09,2025/10/14 09:31:25 (美东),限价单,当日有效,,,,,美股,USD,,1,14.44,14.44,2025/10/14 09:31:25 (美东),美股,USD,,,1.98,0.31,,,,,,0.02,0.02,0.17,,0.01,,0.0,2.51
买入,09988,阿里巴巴-W,154.66,214,33097.24,全部成交,199@150.82,2025/10/14 15:35:17 (香港),限价单,当日有效,允许,,,,港股,HKD,,202,158.23,31962.46,2025/10/14 15:35:17 (香港),港股,HKD,,,10.06,15.45,1.35,33.96,1.81,0.91,0.05,,,,,,,,63.59
卖出,09988,阿里巴巴-W,165.16,220,36335.2,全部成交,187@147.3,2025/10/14 14:21:47 (香港),限价单,当日有效,允许,,,,港股,HKD,,213,168.07,35798.91,2025/10/14 14:21:48 (香港),港股,HKD,,,9.75,14.24,1.18,29.4,1.77,0.84,0.05,,,,,,,,57.23
买入,BMNR,Bitmine Immersion Technologies,50.64,30,1519.2,全部成交,27@56.76,2025/10/13 10:06:16 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,33,53.42,1762.86,2025/10/13 10:06:16 (美东),美股,USD,,,1.05,1.04,0.09,,,,,,,,,,,0.0,2.18
卖出,BRK.B,伯克希尔-B,市价,4,,全部成交,4@498.03,2025/10/13 09:35:32 (美东),市价单,当日有效,,盘中,,,美股,USD,,4,493.78,1975.12,2025/10/13 09:35:32 (美东),美股,USD,,,0.9,0.99,0.01,,,,,,,,,0.01,,0.0,1.91
买入,BIDU251219C150000,BIDU 251219 150.00C,4.51,2,9.02,全部成交,2@4.98,2025/10/13 09:32:19 (美东),限价单,当日有效,,,,,美股,USD,,2,4.54,9.08,2025/10/13 09:33:33 (美东),美股,USD,,,1.8,0.54,,,,,,0.03,0.04,0.39,,,,0.0,2.8
卖出,18099,小米摩通五乙购B.C,0.01,"80,000",,全部成交,"80,000@0.014",2025/10/13 11:45:23 (香港),限价单,当日有效,不允许,,,,港股,HKD,,"80,000",0.01,,2025/10/13 11:45:23 (香港),港股,HKD,,,3.24,15.33,0.05,0.0,0.05,0.03,0.0,,,,,,,,18.7
买入,09988,阿里巴巴-W,169.45,110,18639.5,全部成交,100@152.3,2025/10/13 09:57:24 (香港),限价单,当日有效,允许,,,,港股,HKD,,98,158.62,15544.76,2025/10/13 09:57:25 (香港),港股,HKD,,,4.48,15.16,0.62,17.39,0.94,0.42,0.02,,,,,,,,39.03
买入,AMZN,亚马逊,240.72,7,1685.04,全部成交,6@234.85,2025/10/10 11:47:09 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,7,214.22,1499.54,2025/10/10 11:47:10 (美东),美股,USD,,,1.04,0.92,0.02,,,,,,,,,,,0.0,1.98
买入,BIDU251219C150000,BIDU 251219 150.00C,4.47,1,4.47,全部成交,1@4.61,2025/10/10 11:35:26 (美东),限价单,当日有效,,,,,美股,USD,,1,4.27,4.27,2025/10/10 11:58:38 (美东),美股,USD,,,2.14,0.28,,,,,,0.02,0.02,0.17,,,,0.0,2.63
卖出,TSLA,特斯拉,市价,8,,全部成交,9@420.05,2025/10/10 11:34:03 (美东),市价单,当日有效,,盘中,,,美股,USD,,8,415.04,3320.32,2025/10/10 11:34:04 (美东),美股,USD,,,0.92,1.07,0.02,,,,,,,,,0.01,,0.0,2.02
买入,BIDU251219C150000,BIDU 251219 150.00C,3.63,1,3.63,已撤单,0@0.0,2025/10/10 11:26:18 (美东),限价单,当日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,AMZN,亚马逊,209.82,5,1049.1,全部成交,5@211.7,2025/10/10 09:46:55 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,233.32,1166.6,2025/10/10 09:46:55 (美东),美股,USD,,,0.97,0.91,0.02,,,,,,,,,,,0.0,1.9
卖空,BIDU251219C150000,BIDU 251219 150.00C,5.85,3,17.55,全部成交,3@5.48,2025/10/10 09:32:22 (美东),限价单,当日有效,,,,,美股,USD,,3,5.62,16.86,2025/10/10 09:32:28 (美东),美股,USD,,,2.13,0.97,,,,,,0.05,0.06,0.58,,0.01,,0.01,3.81
卖空,BIDU251219C160000,BIDU 251219 160.00C,4.35,3,13.05,已撤单,0@0.0,2025/10/10 09:31:51 (美东),限价单,当日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,AMZN,亚马逊,242.46,5,1212.3,全部成交,5@221.92,2025/10/09 12:20:39 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,222.59,1112.95,2025/10/09 12:20:48 (美东),美股,USD,,,0.9,1.0,0.02,,,,,,,,,,,0.0,1.92
卖出,FIG,Figma Inc,市价,9,,全部成交,10@74.53,2025/10/09 09:52:12 (美东),市价单,当日有效,,盘中,,,美股,USD,,10,66.65,666.5,2025/10/09 09:52:12 (美东),美股,USD,,,1.02,0.91,0.03,,,,,,,,,0.01,,0.0,1.97
卖出,FIG,Figma Inc,63.36,19,1203.84,下单失败,0@0.0,2025/10/09 09:51:50 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,OSCR,Oscar Health,市价,15,,全部成交,14@21.93,2025/10/08 09:47:33 (美东),市价单,当日有效,,盘中,,,美股,USD,,14,23.33,326.62,2025/10/08 09:47:34 (美东),美股,USD,,,0.9,0.95,0.05,,,,,,,,,0.01,,0.0,1.91
买入,TSLA,特斯拉,412.89,8,3303.12,全部成交,8@388.73,2025/10/08 09:44:47 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,7,414.87,2904.09,2025/10/08 09:44:47 (美东),美股,USD,,,0.91,1.02,0.02,,,,,,,,,,,0.0,1.95
买入,HIMS,Hims & Hers Health,56.2,53,2978.6,全部成交,49@59.26,2025/10/07 12:27:47 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,52,55.53,2887.56,2025/10/07 12:27:48 (美东),美股,USD,,,1.0,1.02,0.16,,,,,,,,,,,0.0,2.18
买入,HIMS,Hims & Hers Health,市价,26,,全部成交,27@59.94,2025/10/07 12:27:32 (美东),市价单,当日有效,,盘中,,,美股,USD,,25,53.18,1329.5,2025/10/07 12:27:32 (美东),美股,USD,,,1.09,0.99,0.08,,,,,,,,,,,0.0,2.16
买入,HIMS,Hims & Hers Health,55.78,25,1394.5,已撤单,0@0.0,2025/10/07 12:27:25 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,HIMS,Hims & Hers Health,58.32,23,1341.36,已撤单,0@0.0,2025/10/07 12:27:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,OSCR,Oscar Health,21.01,14,294.14,全部成交,16@24.69,2025/10/07 11:42:30 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,16,21.63,346.08,2025/10/07 11:42:30 (美东),美股,USD,,,0.93,1.01,0.05,,,,,,,,,0.01,,0.0,2.0
买入,AMZN260618C250000,AMZN 260618 250.00C,16.47,1,16.47,全部成交,1@14.76,2025/10/07 11:13:54 (美东),限价单,当日有效,,,,,美股,USD,,1,16.47,16.47,2025/10/07 11:13:54 (美东),美股,USD,,,2.04,0.32,,,,,,0.02,0.02,0.18,,,,0.0,2.58
卖出,BMNR,Bitmine Immersion Technologies,57.56,29,1669.24,全部成交,31@62.39,2025/10/07 11:10:12 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,57.99,1739.7,2025/10/07 11:10:12 (美东),美股,USD,,,0.89,0.96,0.08,,,,,,,,,0.01,,0.0,1.94
卖出,BMNR,Bitmine Immersion Technologies,56.12,19,1066.28,全部成交,18@66.32,2025/10/07 11:05:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,19,55.48,1054.12,2025/10/07 11:05:30 (美东),美股,USD,,,1.06,1.03,0.06,,,,,,,,,0.01,,0.0,2.16
买入,FIG,Figma Inc,65.14,9,586.26,全部成交,11@62.83,2025/10/06 13:52:50 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,65.06,650.6,2025/10/06 13:52:53 (美东),美股,USD,,,1.06,0.94,0.03,,,,,,,,,,,0.0,2.03
卖出,FIG,Figma Inc,市价,58,,全部成交,51@59.69,2025/10/06 13:48:28 (美东),市价单,当日有效,,盘中,,,美股,USD,,59,59.87,3532.33,2025/10/06 13:48:28 (美东),美股,USD,,,0.95,0.92,0.16,,,,,,,,,0.01,,0.0,2.04
买入,AMZN,亚马逊,214.65,5,1073.25,全部成交,5@227.67,2025/10/06 09:49:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,223.44,1117.2,2025/10/06 09:49:44 (美东),美股,USD,,,1.03,0.92,0.02,,,,,,,,,,,0.0,1.97
卖出,TSLL,2倍做多TSLA ETF-Direxion,18.46,27,498.42,全部成交,33@18.26,2025/10/03 13:28:28 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,32,19.86,635.52,2025/10/03 13:28:28 (美东),美股,USD,,,1.07,0.94,0.08,,,,,,,,,0.01,,0.0,2.1
买入,IBIT,比特币ETF-iShares,73.87,1,73.87,下单失败,0@0.0,2025/10/03 12:16:25 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLL,2倍做多TSLA ETF-Direxion,18.7,15,280.5,全部成交,16@18.5,2025/10/03 10:11:12 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,15,21.39,320.85,2025/10/03 10:11:12 (美东),美股,USD,,,1.01,1.01,0.05,,,,,,,,,0.01,,0.0,2.08
卖出,TSLL,2倍做多TSLA ETF-Direxion,21.01,16,336.16,已撤单,0@0.0,2025/10/03 10:10:52 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLL,2倍做多TSLA ETF-Direxion,19.15,16,306.4,已撤单,0@0.0,2025/10/03 10:10:47 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLL,2倍做多TSLA ETF-Direxion,20.99,14,293.86,全部成交,16@21.56,2025/10/02 13:22:16 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,14,19.3,270.2,2025/10/02 13:22:17 (美东),美股,USD,,,1.08,0.94,0.05,,,,,,,,,0.01,,0.0,2.08
买入,18099,小米摩通五乙购B.C,0.04,"80,000",,全部成交,"80,000@0.049",2025/10/02 09:38:00 (香港),限价单,当日有效,不允许,,,,港股,HKD,,"80,000",0.04,,2025/10/02 09:38:08 (香港),港股,HKD,,,3.01,14.96,0.15,0.0,0.24,0.11,0.01,,,,,,,,18.48
买入,HIMS,Hims & Hers Health,54.57,27,1473.39,全部成交,27@60.22,2025/10/01 11:50:56 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,23,50.83,1169.09,2025/10/01 15:20:56 (美东),美股,USD,,,1.08,1.01,0.08,,,,,,,,,,,0.0,2.17
买入,BMNR,Bitmine Immersion Technologies,53.24,10,532.4,全部成交,10@54.69,2025/09/26 13:33:16 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,9,47.61,428.49,2025/09/26 13:33:16 (美东),美股,USD,,,0.97,1.02,0.03,,,,,,,,,,,0.0,2.02
买入,BMNR,Bitmine Immersion Technologies,49.29,20,985.8,全部成交,19@55.34,2025/09/26 13:32:35 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,4,47.61,190.44,2025/09/26 13:32:35 (美东),美股,USD,,,1.06,1.07,0.06,,,,,,,,,,,0.0,2.19
,,,,,,,,,,,,,,,,,,16,48.97,783.52,2025/09/26 13:32:35 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
卖出,01810,小米集团-W,61.21,217,13282.57,全部成交,201@56.47,2025/09/25 15:03:31 (香港),限价单,当日有效,允许,,,,港股,HKD,,181,56.91,10300.71,2025/09/25 15:03:31 (香港),港股,HKD,,,3.68,13.83,0.53,11.85,0.73,0.3,0.02,,,,,,,,30.94
买入,BMNR,Bitmine Immersion Technologies,50.0,1,50.0,全部成交,1@57.9,2025/09/23 13:40:26 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,1,57.12,57.12,2025/09/23 13:40:26 (美东),美股,USD,,,0.9,1.08,0.0,,,,,,,,,,,0.0,1.98
买入,BMNR,Bitmine Immersion Technologies,60.31,11,663.41,下单失败,0@0.0,2025/09/23 09:40:22 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,BMNR,Bitmine Immersion Technologies,53.15,14,744.1,已撤单,0@0.0,2025/09/22 13:32:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,BMNR,Bitmine Immersion Technologies,52.14,14,729.96,全部成交,15@54.23,2025/09/22 13:20:20 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,15,57.16,857.4,2025/09/22 13:28:43 (美东),美股,USD,,,1.05,1.06,0.05,,,,,,,,,,,0.0,2.16
买入,BMNR,Bitmine Immersion Technologies,58.29,5,291.45,全部成交,5@52.83,2025/09/22 12:41:43 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,52.44,262.2,2025/09/22 12:41:44 (美东),美股,USD,,,0.99,0.94,0.02,,,,,,,,,,,0.0,1.95
买入,FIG,Figma Inc,56.23,5,281.15,全部成交,5@57.45,2025/09/22 11:23:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,59.57,297.85,2025/09/22 11:23:44 (美东),美股,USD,,,1.04,1.06,0.02,,,,,,,,,,,0.0,2.12
卖出,BMNR,Bitmine Immersion Technologies,54.9,61,3348.9,全部成交,58@57.53,2025/09/22 11:18:29 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,63,61.87,3897.81,2025/09/22 11:18:29 (美东),美股,USD,,,0.91,1.02,0.19,,,,,,,,,0.01,,0.0,2.13
卖空,BIDU260116C175000,BIDU 260116 175.00C,6.1,1,6.1,已撤单,0@0.0,2025/09/22 10:41:23 (美东),限价单,当日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,BMNR,Bitmine Immersion Technologies,63.13,10,631.3,全部成交,10@58.44,2025/09/22 10:00:39 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,64.85,648.5,2025/09/22 10:00:39 (美东),美股,USD,,,0.98,0.99,0.03,,,,,,,,,,,0.0,2.0
卖出,HIMS,Hims & Hers Health,60.94,20,1218.8,全部成交,22@60.91,2025/09/22 09:59:48 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,20,60.45,1209.0,2025/09/22 09:59:48 (美东),美股,USD,,,0.95,0.9,0.06,,,,,,,,,0.01,,0.0,1.92
买入,BMNR,Bitmine Immersion Technologies,56.49,45,2542.05,全部成交,48@63.56,2025/09/22 09:52:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,51,60.89,3105.39,2025/09/22 10:05:26 (美东),美股,USD,,,0.93,1.05,0.16,,,,,,,,,,,0.0,2.14
买入,BIDU260116C175000,BIDU 260116 175.00C,6.52,1,6.52,全部成交,1@7.47,2025/09/22 09:38:00 (美东),限价单,当日有效,,,,,美股,USD,,1,7.79,7.79,2025/09/22 09:38:10 (美东),美股,USD,,,1.99,0.31,,,,,,0.02,0.02,0.18,,,,0.0,2.52
买入,MSTR260116P300000,MSTR 260116 300.00P,26.2,1,26.2,全部成交,1@26.23,2025/09/22 09:36:21 (美东),限价单,当日有效,,,,,美股,USD,,1,25.43,25.43,2025/09/22 09:36:28 (美东),美股,USD,,,1.86,0.3,,,,,,0.02,0.02,0.17,,,,0.0,2.37
卖出,MSTR,Strategy,299.34,10,2993.4,全部成交,11@340.09,2025/09/22 09:36:16 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,11,318.56,3504.16,2025/09/22 09:36:16 (美东),美股,USD,,,1.04,0.94,0.03,,,,,,,,,0.01,,0.0,2.02
买入,MSTR,Strategy,360.25,5,1801.25,全部成交,5@326.13,2025/09/19 14:10:02 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,361.34,1806.7,2025/09/19 14:10:02 (美东),美股,USD,,,1.06,1.0,0.02,,,,,,,,,,,0.0,2.08
卖空,BIDU260116C175000,BIDU 260116 175.00C,6.97,1,6.97,全部成交,1@6.78,2025/09/19 12:16:16 (美东),限价单,当日有效,,,,,美股,USD,,1,6.76,6.76,2025/09/19 12:16:16 (美东),美股,USD,,,1.79,0.3,,,,,,0.02,0.02,0.19,,0.01,,0.0,2.33
买入,UNH,联合健康,309.04,10,3090.4,全部成交,9@306.09,2025/09/19 11:12:18 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,6,330.55,1983.3,2025/09/19 11:12:41 (美东),美股,USD,,,0.95,1.09,0.03,,,,,,,,,,,0.0,2.07
,,,,,,,,,,,,,,,,,,4,330.68,1322.72,2025/09/19 11:12:41 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
卖出,HIMS,Hims & Hers Health,56.62,10,566.2,全部成交,10@59.89,2025/09/19 09:40:53 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,59.74,597.4,2025/09/19 10:36:52 (美东),美股,USD,,,0.96,0.96,0.03,,,,,,,,,0.01,,0.0,1.96
买入,UNH,联合健康,367.29,5,1836.45,全部成交,5@321.99,2025/09/19 09:36:42 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,345.41,1727.05,2025/09/19 09:45:02 (美东),美股,USD,,,0.96,1.07,0.02,,,,,,,,,,,0.0,2.05
卖出,INOD,Innodata,65.53,15,982.95,全部成交,15@72.5,2025/09/19 09:30:10 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,14,69.86,978.04,2025/09/19 09:30:11 (美东),美股,USD,,,1.0,0.95,0.05,,,,,,,,,0.01,,0.0,2.01
买入,OSCR,Oscar Health,15.78,42,662.76,已撤单,0@0.0,2025/09/19 09:13:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,FIG,Figma Inc,59.91,11,659.01,全部成交,9@54.13,2025/09/18 10:40:33 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,57.1,571.0,2025/09/18 10:40:40 (美东),美股,USD,,,1.03,0.96,0.03,,,,,,,,,,,0.0,2.02
